Date,Population, Increase in Population,Population Density, Increase in Population Density,Urban Population,Urban Population % of Total Population, Increase in Urban Population,Rural Population,Rural Population % of Total Population, Cange in Rural Population,Life Expectancy, Increase in Life Expectancy,Birt Rate, Cange in Birt Rate,Deat Rate, Cange in Deat Rate,Infant Mortality Rate, Cange in Infant Mortality Rate,Fertility Rate, Cange in Fertility Rate,Net Migration Rate, Cange in Net Migration Rate
1950-01-01,543979233,0.00,56.66,0.00,Null,Null,Null,Null,Null,Null,43.45,0.00,46.133,0.00,23.366,0.00,127.573,0.00,6.488,0.00,-129,0.00
1951-01-01,553613988,1.77,57.67,1.77,Null,Null,Null,Null,Null,Null,43.57,0.29,44.921,-2.63,23.106,-1.11,128.008,0.34,6.362,-1.94,-116,-10.08
1952-01-01,564954522,02.05,58.85,02.05,Null,Null,Null,Null,Null,Null,43.7,0.29,43.71,-2.70,22.845,-1.13,128.443,0.34,6.236,-1.98,-102,-12.07
1953-01-01,577378682,2.20,60.14,2.20,Null,Null,Null,Null,Null,Null,43.83,0.29,42.498,-2.77,22.585,-1.14,128.878,0.34,6.11,-2.02,-88,-13.73
1954-01-01,589936004,2.17,61.45,2.17,Null,Null,Null,Null,Null,Null,43.96,0.29,41.286,-2.85,22.325,-1.15,129.313,0.34,5.984,-2.06,-74,-15.91
1955-01-01,603320147,2.27,62.85,2.27,Null,Null,Null,Null,Null,Null,44.09,0.29,40.075,-2.93,22.064,-1.17,129.748,0.34,5.858,-2.11,-0.06,-18.92
1956-01-01,616283022,2.15,64.2,2.15,Null,Null,Null,Null,Null,Null,44.21,0.29,38.863,-3.02,21.804,-1.18,130.183,0.34,5.732,-2.15,-47,-21.67
1957-01-01,630003025,2.23,65.63,2.23,Null,Null,Null,Null,Null,Null,44.34,0.29,37.652,-3.12,21.543,-1.20,130.618,0.33,5.606,-2.20,-33,-29.79
1958-01-01,643791581,2.19,67.06,2.19,Null,Null,Null,Null,Null,Null,44.47,0.29,36.44,-3.22,21.283,-1.21,131.053,0.33,5.48,-2.25,-19,-42.42
1959-01-01,652179194,1.30,67.94,1.30,Null,Null,Null,Null,Null,Null,44.49,0.04,37.034,1.63,21.157,-0.59,131.85,0.61,5.614,2.45,-0.08,321.05
1960-01-01,654170692,0.31,68.14,0.31,108085352,16.2,0.00,558984648.0,83.8,0.00,44.5,0.04,37.629,1.61,21.031,-0.60,132.647,0.60,5.748,2.39,-141,76.25
1961-01-01,655260380,0.17,68.26,0.17,110327936,16.71,02.05,550002064.0,83.29,-1.62,44.52,0.04,38.223,1.58,20.905,-0.60,133.444,0.60,5.882,2.33,-203,43.97
1962-01-01,664614650,1.43,69.23,1.43,114685540,17.23,3.87,551084460.0,82.77,0.20,44.53,0.04,38.818,1.56,20.779,-0.60,134.241,0.60,6.016,2.28,-264,30.05
1963-01-01,683903557,2.90,71.24,2.90,121162226,17.76,5.49,561172774.0,82.24,1.81,44.55,0.04,39.412,1.53,20.653,-0.61,135.038,0.59,6.15,2.23,-325,23.11
1964-01-01,704593772,03.03,73.4,03.03,127791981,18.3,5.33,570563019.0,81.7,1.66,46.73,4.90,39.427,0.04,19.082,-7.61,126.795,-6.10,6.18,0.49,-268,-17.54
1965-01-01,723846349,2.73,75.4,2.73,129348359,18.09,1.21,585836641.0,81.91,2.64,48.92,4.67,39.442,0.04,17.511,-8.23,118.552,-6.50,6.21,0.49,-211,-21.27
1966-01-01,742948541,2.64,77.39,2.64,131746910,17.92,1.84,603653090.0,82.09,3.00,51.1,4.46,39.458,0.04,15.941,-8.97,110.31,-6.95,6.24,0.48,-155,-26.54
1967-01-01,761006260,2.43,79.27,2.43,134196718,17.79,1.84,620353282.0,82.22,2.73,53.29,4.27,39.473,0.04,14.37,-9.86,102.067,-7.47,6.27,0.48,-98,-36.77
1968-01-01,780371956,2.54,81.29,2.54,136747486,17.66,1.88,637762514.0,82.34,2.77,55.47,4.10,39.488,0.04,12.799,-10.93,93.824,-8.08,6.3,0.48,-41,-58.16
1969-01-01,801430976,2.70,83.48,2.70,139527262,17.53,02.01,656497738.0,82.47,2.90,56.71,2.24,37.976,-3.83,12.075,-5.66,89.449,-4.66,06.01,-4.60,-83,102.44
1970-01-01,822534450,2.63,85.68,2.63,142386810,17.4,02.03,675928190.0,82.6,2.92,57.95,2.19,36.463,-3.98,11.351,-6.00,85.073,-4.89,5.72,-4.83,-125,50.60
1971-01-01,843285424,2.52,87.84,2.52,145443877,17.29,2.12,695661123.0,82.71,2.88,59.19,2.14,34.951,-4.15,10.626,-6.39,80.698,-5.14,5.43,-5.07,-168,34.40
1972-01-01,862840403,2.32,89.88,2.32,148131235,17.18,1.83,713898765.0,82.82,2.59,60.43,02.09,33.438,-4.33,9.902,-6.81,76.322,-5.42,5.14,-5.34,-0.21,25.00
1973-01-01,881652080,2.18,91.84,2.18,151552570,17.18,2.28,730387430.0,82.82,2.28,61.67,02.05,31.926,-4.52,9.178,-7.31,71.947,-5.73,4.85,-5.64,-252,20.00
1974-01-01,899367640,02.01,93.68,02.01,155688522,17.29,2.69,744661478.0,82.71,1.94,62.44,1.25,30.039,-5.91,8.772,-4.42,68.557,-4.71,4.482,-7.59,-204,-19.05
1975-01-01,915124661,1.75,95.33,1.75,159452730,17.4,2.39,756942270.0,82.6,1.64,63.21,1.23,28.152,-6.28,8.366,-4.63,65.167,-4.94,4.114,-8.21,-155,-24.02
1976-01-01,929375924,1.56,96.81,1.56,162497601,17.46,1.89,768187399.0,82.54,1.47,63.97,1.22,26.265,-6.70,7.959,-4.86,61.778,-5.20,3.746,-8.95,-107,-30.97
1977-01-01,942581333,1.42,98.19,1.42,165293316,17.52,1.71,778161684.0,82.48,1.29,64.74,1.20,24.378,-7.18,7.553,-5.10,58.388,-5.49,3.378,-9.82,-58,-45.79
1978-01-01,955138943,1.33,99.49,1.33,171153535,17.9,3.48,785011465.0,82.1,0.88,65.51,1.19,22.491,-7.74,7.147,-5.38,54.998,-5.81,03.01,-10.89,-0.01,-82.76
1979-01-01,968298969,1.38,100.86,1.38,180399661,18.62,5.26,788605339.0,81.38,0.46,65.96,0.68,22.231,-1.16,7.039,-1.51,52.927,-3.77,2.912,-3.26,-16,60.00
1980-01-01,982372466,1.45,102.33,1.45,189947471,19.36,5.16,791287529.0,80.64,0.34,66.41,0.68,21.972,-1.17,6.93,-1.55,50.856,-3.91,2.814,-3.37,-22,37.50
1981-01-01,997259502,1.52,103.88,1.52,199949784,20.12,5.13,793935216.0,79.88,0.33,66.85,0.67,21.712,-1.18,6.822,-1.56,48.786,-4.07,2.716,-3.48,-27,22.73
1982-01-01,1013483166,1.63,105.57,1.63,210823843,20.9,5.30,797806157.0,79.1,0.49,67.3,0.67,21.453,-1.19,6.713,-1.60,46.715,-4.25,2.618,-3.61,-33,22.22
1983-01-01,1029226907,1.55,107.21,1.55,220472140,21.55,4.47,802837860.0,78.46,0.63,67.75,0.67,21.193,-1.21,6.605,-1.61,44.644,-4.43,2.52,-3.74,-39,18.18
1984-01-01,1044172197,1.45,108.77,1.45,230206255,22.2,4.32,806618745.0,77.8,0.47,67.98,0.35,21.908,3.37,6.625,0.30,44.168,-1.07,2.562,1.67,-47,20.51
